
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1996-1-1,57,48,39,57,46,32,100,83,69,29.86,29.60,29.48,10,6,0,24,9,34,0.55,8,Fog-Rain,309
1996-1-2,48,42,37,32,27,22,73,57,42,30.12,29.99,29.83,10,10,10,25,18,32,0.63,7,,328
1996-1-3,52,41,30,22,21,18,67,48,30,30.21,30.08,29.95,10,10,10,10,8,,0.00,,,242
1996-1-4,66,50,34,38,33,22,76,54,34,29.96,29.91,29.86,10,10,10,16,8,21,0.00,,,189
1996-1-5,53,48,42,38,35,32,79,65,52,30.22,30.10,29.96,10,10,10,16,7,22,0.33,7,,349
1996-1-6,41,36,30,31,23,18,79,61,47,30.46,30.31,30.22,10,10,7,21,15,34,0.18,8,,345
1996-1-7,42,33,24,17,14,11,66,49,32,30.63,30.55,30.48,10,10,10,17,13,25,0.00,,,351
1996-1-8,51,36,21,19,17,12,82,48,28,30.58,30.44,30.28,10,10,10,14,3,22,0.00,,,185
1996-1-9,66,50,33,35,30,20,78,50,30,30.27,30.19,30.10,10,10,10,12,8,16,0.00,0,,193
1996-1-10,71,54,36,53,41,32,86,66,41,30.18,30.06,29.94,10,10,7,16,5,23,0.00,0,,171
1996-1-11,66,58,48,54,34,20,97,47,20,30.21,30.08,29.91,10,10,10,21,10,30,0.00,3,,306
1996-1-12,71,54,37,31,27,21,60,33,22,30.30,30.22,30.17,10,10,10,12,7,,0.00,,,288
1996-1-13,75,60,46,33,30,29,56,36,19,30.21,30.10,29.97,10,10,10,9,6,,0.00,,,227
1996-1-14,75,60,46,53,42,30,87,52,33,29.96,29.91,29.83,10,10,10,20,8,26,0.00,,,176
1996-1-15,72,60,48,53,43,37,100,62,28,30.11,30.03,29.95,10,8,0,12,4,,0.00,4,Fog,335
1996-1-16,75,62,48,58,52,42,100,75,44,30.08,29.93,29.79,10,7,0,18,4,24,0.17,7,Fog,172
1996-1-17,75,68,60,61,59,57,90,74,53,29.78,29.57,29.33,10,10,5,23,13,33,0.00,7,Rain,169
1996-1-18,62,46,30,54,22,7,87,49,28,30.42,29.99,29.54,10,9,7,28,13,39,0.00,6,Rain,320
1996-1-19,46,36,26,11,6,1,47,31,16,30.43,30.28,30.08,10,10,10,13,8,,0.00,,,234
1996-1-20,68,49,30,32,28,17,85,51,24,30.14,30.03,29.95,10,10,10,17,7,24,0.00,6,,167
1996-1-21,69,56,42,53,29,23,97,40,22,30.32,30.22,30.17,10,9,4,17,9,,0.05,7,Fog,52
1996-1-22,73,63,53,62,57,53,100,88,61,30.19,30.05,29.89,10,5,0,17,8,25,0.01,8,Fog-Rain,162
1996-1-23,79,66,50,63,55,31,90,66,38,30.08,29.84,29.74,10,10,10,23,11,30,0.01,7,,195
1996-1-24,59,48,37,27,23,20,57,41,22,30.31,30.20,30.10,10,10,10,10,6,,0.00,,,39
1996-1-25,69,53,37,54,36,24,87,59,24,30.22,30.05,29.88,10,10,10,20,6,29,0.52,6,,172
1996-1-26,70,56,41,59,41,12,97,60,18,30.27,29.94,29.81,10,8,2,22,10,28,0.04,7,Fog,279
1996-1-27,53,42,30,15,13,11,48,33,20,30.58,30.44,30.30,10,10,10,16,10,18,0.00,,,48
1996-1-28,57,46,35,55,32,16,100,60,37,30.37,30.12,29.97,10,8,2,13,4,17,0.64,8,Fog,168
1996-1-29,71,63,55,56,52,47,96,75,44,30.08,30.00,29.94,10,7,3,8,4,,0.12,7,Fog,255
1996-1-30,75,57,37,63,52,19,100,78,47,30.12,29.94,29.87,10,7,0,20,6,28,0.35,8,Fog,186
1996-1-31,36,32,27,18,13,10,61,49,43,30.21,30.14,30.09,10,10,10,21,14,26,0.21,8,,13
1996-2-1,28,26,24,26,23,17,96,88,63,30.13,30.07,30.01,10,5,1,16,11,22,0.18,8,Fog-Rain,10
1996-2-2,30,28,27,27,24,22,92,83,75,30.32,30.19,30.08,10,9,2,18,14,28,0.06,8,Fog-Rain,359
1996-2-3,34,28,23,22,19,15,88,71,54,30.73,30.52,30.33,10,9,1,16,13,21,0.02,8,Fog-Snow,8
1996-2-4,37,28,19,17,14,11,74,58,44,30.90,30.77,30.68,10,10,10,14,8,17,0.00,,,30
1996-2-5,53,37,21,48,31,13,92,69,58,30.66,30.46,30.34,10,10,4,15,5,24,0.43,7,Fog-Rain,171
1996-2-6,69,58,48,55,51,48,97,85,52,30.37,30.28,30.15,10,6,1,13,4,17,0.34,7,Fog-Rain,116
1996-2-7,75,62,48,55,51,48,100,76,41,30.19,30.10,29.99,10,6,0,18,7,28,0.05,6,Fog,174
1996-2-8,77,67,57,58,55,53,93,73,43,30.03,29.98,29.92,10,10,10,18,12,34,0.04,7,,181
1996-2-9,75,64,52,61,56,52,100,80,50,30.06,30.00,29.91,10,7,1,12,6,,0.07,7,Fog,180
1996-2-10,80,72,64,61,59,54,90,74,43,30.01,29.96,29.90,10,10,7,16,10,22,0.01,8,Rain,187
1996-2-11,63,58,51,59,30,10,87,38,19,30.43,30.29,30.02,10,10,10,26,13,37,0.41,8,,1
1996-2-12,64,54,43,24,16,8,34,23,14,30.53,30.45,30.39,10,10,10,12,8,17,0.00,,,355
1996-2-13,71,55,39,30,25,19,70,34,14,30.40,30.24,30.06,10,10,10,15,4,20,0.00,,,217
1996-2-14,82,68,53,49,43,29,66,45,31,30.04,29.87,29.71,10,10,10,15,8,23,0.00,,,190
1996-2-15,71,62,53,46,32,25,69,35,21,30.19,29.97,29.77,10,10,10,24,13,34,0.00,,,11
1996-2-16,53,46,39,28,13,6,43,27,16,30.48,30.33,30.20,10,10,10,23,12,32,0.00,,,23
1996-2-17,69,52,34,47,29,10,74,43,32,30.21,30.06,29.94,10,10,10,16,6,24,0.00,,,180
1996-2-18,75,62,48,60,53,46,97,75,43,29.98,29.80,29.58,10,8,3,17,4,26,0.30,7,Fog,182
1996-2-19,82,70,59,61,43,30,93,48,16,29.79,29.69,29.59,10,10,10,16,9,20,0.00,7,,253
1996-2-20,90,72,53,42,37,32,55,30,15,29.86,29.81,29.76,10,10,10,15,5,28,0.00,,,242
1996-2-21,99,76,52,51,44,37,83,41,12,29.92,29.84,29.76,10,10,10,16,5,,0.00,,,223
1996-2-22,95,77,59,63,53,42,93,51,16,29.83,29.77,29.69,10,10,5,17,7,23,0.07,4,Fog,174
1996-2-23,93,78,64,63,51,26,93,55,15,30.03,29.80,29.72,10,8,5,23,13,36,0.06,7,Fog,196
1996-2-24,75,64,53,63,39,22,93,42,24,30.13,30.03,29.94,10,10,7,14,10,17,0.20,5,,89
1996-2-25,82,72,63,65,62,57,100,78,45,29.99,29.91,29.80,10,8,1,20,8,30,0.16,7,Fog-Rain,157
1996-2-26,78,71,64,66,64,61,100,80,60,29.87,29.82,29.74,10,9,5,20,10,26,0.23,7,Fog,167
1996-2-27,79,72,63,67,61,43,90,71,43,29.92,29.78,29.71,10,10,7,14,9,23,0.30,7,,155
1996-2-28,62,50,39,44,27,18,65,47,34,30.32,30.14,29.92,10,10,10,24,17,32,0.01,8,Rain,7
1996-2-29,43,38,34,32,24,14,89,60,33,30.37,30.27,30.20,10,9,4,23,12,25,0.53,8,Fog-Rain,350
1996-3-1,46,42,37,34,31,26,82,65,59,30.19,30.07,30.00,10,10,10,13,5,,0.11,7,,338
1996-3-2,66,50,33,37,30,23,96,54,20,30.11,30.06,29.98,10,10,10,15,6,18,0.00,,,210
1996-3-3,71,56,42,51,43,28,100,67,32,30.20,30.14,30.07,10,6,0,14,7,22,0.19,7,Fog,171
1996-3-4,71,62,52,65,57,50,100,88,63,30.17,30.05,29.94,10,9,2,16,6,21,0.06,8,Fog-Rain,148
1996-3-5,79,72,66,67,66,65,100,85,64,29.96,29.85,29.71,10,8,1,15,10,,0.01,7,Fog-Rain,174
1996-3-6,77,60,41,67,54,21,97,73,30,30.07,29.76,29.66,10,7,2,28,12,36,0.93,7,Fog,184
1996-3-7,48,39,30,19,8,0,50,31,15,30.54,30.38,30.12,10,10,10,30,20,38,0.00,7,,351
1996-3-8,46,37,28,7,3,0,35,24,16,30.74,30.62,30.55,10,10,10,20,12,25,0.00,0,,12
1996-3-9,48,37,26,8,4,2,41,26,16,30.69,30.61,30.54,10,10,10,12,7,,0.00,,,38
1996-3-10,62,45,28,32,19,6,64,37,21,30.58,30.50,30.42,10,10,10,14,4,21,0.00,,,165
1996-3-11,66,51,36,41,32,26,82,54,25,30.45,30.33,30.18,10,10,10,16,7,23,0.00,0,,154
1996-3-12,75,58,41,52,45,39,93,68,38,30.17,30.06,29.91,10,10,7,18,8,28,0.18,6,,158
1996-3-13,81,68,54,57,54,52,96,71,39,29.98,29.92,29.83,10,9,4,18,11,29,0.04,7,Fog,172
1996-3-14,82,73,64,62,56,51,84,61,34,29.93,29.85,29.78,10,10,10,17,13,25,0.13,7,,169
1996-3-15,75,68,61,62,53,46,93,64,40,29.99,29.88,29.80,10,10,10,13,6,,0.22,7,,65
1996-3-16,81,66,52,60,53,47,93,70,36,29.83,29.75,29.63,10,10,10,18,4,26,0.07,5,Rain-Thunderstorm,94
1996-3-17,79,68,57,58,54,45,97,71,30,29.80,29.71,29.58,10,8,2,13,5,,0.01,6,Fog,308
1996-3-18,64,58,52,58,38,25,80,49,23,30.12,29.89,29.60,10,10,10,28,13,36,0.20,6,,322
1996-3-19,66,56,46,30,22,15,52,30,14,30.29,30.21,30.13,10,10,10,22,11,31,0.00,2,,327
1996-3-20,64,53,42,20,16,14,38,25,14,30.41,30.30,30.24,10,10,10,18,10,25,0.00,0,,350
1996-3-21,73,54,36,41,26,15,57,34,20,30.27,30.14,29.98,10,10,10,13,6,22,0.00,,,189
1996-3-22,80,65,50,56,50,43,83,63,32,30.02,29.96,29.86,10,10,10,17,8,25,0.26,6,,158
1996-3-23,69,64,59,58,55,54,87,72,58,29.93,29.87,29.80,10,10,10,21,13,30,0.22,8,,157
1996-3-24,81,72,64,64,61,56,90,75,42,29.81,29.74,29.66,10,10,10,18,12,23,0.08,7,,164
1996-3-25,68,54,41,64,26,17,93,40,25,30.24,30.11,29.81,10,10,7,25,15,34,0.01,6,,8
1996-3-26,48,44,39,43,32,23,97,69,37,30.30,30.21,30.17,10,8,3,21,16,31,0.15,8,Fog-Rain-Thunderstorm,9
1996-3-27,46,42,39,44,42,38,100,94,82,30.16,30.09,30.04,10,7,2,14,9,,0.29,8,Fog-Rain,341
1996-3-28,70,57,44,46,42,39,82,68,40,30.14,30.05,29.93,10,10,10,9,6,,0.09,6,,287
1996-3-29,69,58,46,62,53,45,100,87,68,29.98,29.91,29.79,10,6,0,14,5,,0.32,8,Fog,137
1996-3-30,86,74,63,66,50,28,100,58,12,29.93,29.80,29.73,10,6,0,17,7,25,0.19,7,Fog-Rain,225
1996-3-31,72,60,48,42,38,33,71,46,25,30.16,30.06,29.94,10,10,10,23,15,28,0.00,,,356
1996-4-1,72,60,48,35,33,29,59,37,20,30.31,30.22,30.16,10,10,10,14,10,21,0.00,0,,45
1996-4-2,73,58,42,53,39,25,79,48,18,30.18,30.08,29.97,10,10,10,16,5,23,0.08,3,,158
1996-4-3,75,65,55,61,57,54,97,76,48,29.96,29.90,29.81,10,9,3,16,8,23,0.02,6,Fog,161
1996-4-4,46,70,59,64,58,46,97,72,45,30.06,29.92,29.84,10,9,5,25,8,32,0.36,7,Fog,70
1996-4-5,59,49,39,48,43,38,97,88,60,30.31,30.12,30.02,10,7,0,25,17,39,0.23,8,Fog-Rain-Thunderstorm,8
1996-4-6,62,50,39,37,33,28,93,57,29,30.25,30.17,30.07,10,9,7,18,14,23,0.00,7,,3
1996-4-7,70,56,41,38,36,32,85,49,29,30.09,30.00,29.88,10,10,10,10,4,,0.00,,,208
1996-4-8,82,65,48,47,41,37,69,43,24,29.98,29.93,29.87,10,10,10,8,3,,0.00,,,188
1996-4-9,90,70,51,52,46,43,92,47,21,29.97,29.93,29.86,10,10,10,14,3,,0.00,,,195
1996-4-10,84,70,57,63,52,45,81,49,34,30.06,29.99,29.94,10,10,10,14,5,,0.00,,,162
1996-4-11,82,74,66,63,60,55,90,70,39,30.00,29.91,29.79,10,10,10,18,13,28,0.00,6,,161
1996-4-12,84,76,68,67,65,62,90,76,53,29.85,29.75,29.62,10,9,7,16,11,21,0.00,7,Rain,163
1996-4-13,90,74,57,66,56,50,87,61,27,29.85,29.75,29.62,10,10,10,16,9,,0.00,6,,112
1996-4-14,88,78,68,68,45,23,93,47,10,30.00,29.79,29.69,10,9,7,21,11,25,0.00,7,,268
1996-4-15,73,62,52,34,30,24,47,31,16,30.24,30.15,30.01,10,10,10,23,16,23,0.00,,,353
1996-4-16,79,62,46,47,34,28,74,39,15,30.27,30.16,30.02,10,10,10,14,5,,0.00,,,166
1996-4-17,82,68,55,62,55,49,93,68,34,30.04,29.96,29.83,10,10,6,16,8,25,0.00,5,,159
1996-4-18,93,80,66,70,62,52,90,61,25,29.91,29.85,29.74,10,10,10,15,11,20,0.00,7,,176
1996-4-19,97,83,69,69,66,60,93,67,29,29.82,29.74,29.61,10,9,5,17,11,23,0.00,6,Fog,172
1996-4-20,81,74,66,70,56,36,100,59,26,29.96,29.84,29.77,10,9,2,24,9,17,0.07,5,Rain-Thunderstorm,29
1996-4-21,89,80,70,70,66,56,93,71,45,29.84,29.79,29.69,10,9,7,21,9,26,0.10,6,,151
1996-4-22,75,69,61,70,64,52,100,82,64,30.10,29.87,29.75,10,9,2,17,12,22,0.20,7,Fog-Rain,94
1996-4-23,79,66,53,50,45,39,86,54,24,30.35,30.24,30.14,10,10,10,15,11,22,0.00,,,9
1996-4-24,86,68,50,52,46,41,86,48,24,30.25,30.12,29.93,10,10,10,17,5,23,0.00,0,,168
1996-4-25,93,76,59,70,60,53,96,64,30,29.94,29.76,29.59,10,10,10,21,14,25,0.10,7,,181
1996-4-26,88,78,68,69,60,44,82,56,36,29.92,29.83,29.72,10,10,10,20,10,22,0.01,5,,59
1996-4-27,88,77,66,71,68,63,100,79,49,29.93,29.86,29.73,10,7,3,17,5,23,0.00,7,Fog,150
1996-4-28,91,81,71,71,68,57,87,69,48,29.94,29.74,29.66,10,10,3,23,14,31,0.90,6,Rain-Thunderstorm,166
1996-4-29,73,64,54,59,39,24,93,48,17,30.22,30.04,29.80,10,10,1,29,19,40,0.10,8,Fog-Rain-Thunderstorm,354
1996-4-30,78,61,44,45,38,28,79,43,22,30.18,30.07,29.90,10,10,10,17,7,23,0.00,0,,183
1996-5-1,84,68,51,65,56,46,96,69,49,29.97,29.92,29.83,10,10,10,17,10,22,0.00,2,,166
1996-5-2,77,70,64,68,66,64,97,85,74,29.93,29.89,29.82,10,10,10,14,9,18,0.11,8,,167
1996-5-3,88,79,70,70,69,67,100,80,51,29.90,29.86,29.79,10,9,3,17,12,25,0.01,7,Fog,163
1996-5-4,87,78,68,70,67,64,93,75,53,29.95,29.89,29.84,10,10,10,17,10,23,0.00,6,,167
1996-5-5,86,77,68,73,70,66,100,83,61,30.01,29.97,29.91,10,9,5,17,9,24,0.13,7,Fog,156
1996-5-6,81,76,72,74,72,69,100,88,69,30.04,30.00,29.94,10,9,3,14,7,,0.01,8,Fog-Rain-Thunderstorm,138
1996-5-7,84,77,70,74,70,64,100,84,53,30.01,29.99,29.95,10,8,3,16,7,,0.02,7,Fog-Rain,147
1996-5-8,84,77,70,72,69,66,100,80,60,30.03,29.98,29.92,10,9,7,20,8,20,0.04,7,Rain,144
1996-5-9,88,80,71,72,70,68,100,82,53,30.00,29.97,29.92,10,9,7,15,8,23,0.07,7,,148
1996-5-10,87,80,72,73,70,68,97,77,55,30.06,29.99,29.93,10,9,7,15,10,21,0.00,7,Rain,155
1996-5-11,86,78,71,69,65,59,87,68,53,30.14,30.07,29.94,10,10,10,17,9,21,0.00,5,,5
1996-5-12,84,74,64,70,66,62,93,79,57,30.16,30.09,29.95,10,9,5,12,6,,0.00,7,Fog,49
1996-5-13,91,80,70,70,68,65,100,72,43,30.06,29.99,29.89,10,10,10,18,8,22,0.23,6,,154
1996-5-14,91,80,69,69,67,65,96,71,43,30.01,29.96,29.85,10,10,7,18,10,25,0.00,6,,160
1996-5-15,91,81,71,69,67,63,91,69,39,29.94,29.91,29.84,10,10,10,18,11,24,0.00,5,,165
1996-5-16,93,82,72,69,67,64,91,67,38,29.99,29.93,29.87,10,10,10,17,12,23,0.00,5,,168
1996-5-17,95,84,72,70,66,61,91,63,33,29.98,29.92,29.85,10,10,10,18,12,25,0.08,7,,165
1996-5-18,93,83,73,70,67,63,87,65,38,30.01,29.95,29.88,10,10,10,18,12,23,0.00,6,,163
1996-5-19,91,82,73,69,66,63,85,64,38,29.94,29.86,29.73,10,10,10,20,13,28,0.00,6,,168
1996-5-20,95,84,73,71,67,64,87,63,36,29.80,29.73,29.64,10,10,10,20,13,23,0.00,6,,167
1996-5-21,95,84,72,71,67,63,93,63,36,29.82,29.77,29.71,10,10,10,15,10,21,0.00,5,,166
1996-5-22,96,84,71,70,66,61,93,62,32,29.85,29.78,29.66,10,10,10,16,10,24,0.00,6,,167
1996-5-23,97,84,72,71,68,63,97,67,35,29.81,29.76,29.68,10,10,10,18,11,25,0.00,7,,163
1996-5-24,93,83,73,71,69,65,91,69,39,29.87,29.82,29.78,10,10,10,17,12,23,0.03,5,,154
1996-5-25,93,84,75,73,70,64,90,68,37,29.91,29.86,29.76,10,10,10,20,11,23,0.12,5,,144
1996-5-26,93,85,77,74,71,66,88,67,42,29.81,29.75,29.66,10,10,10,16,12,22,0.11,6,,159
1996-5-27,89,78,68,77,74,65,93,82,61,29.94,29.77,29.69,10,9,0,24,9,41,1.01,7,Fog-Rain-Thunderstorm,163
1996-5-28,93,84,75,76,75,73,100,77,51,29.83,29.78,29.69,10,9,4,13,7,,0.00,7,Fog,168
1996-5-29,95,87,79,77,75,72,94,72,47,29.89,29.82,29.76,10,9,7,12,7,,0.29,6,,136
1996-5-30,95,82,69,76,71,67,100,73,41,30.02,29.90,29.78,10,9,3,22,11,25,0.56,5,Fog-Rain-Thunderstorm,135
1996-5-31,89,81,73,76,73,70,97,78,55,29.96,29.91,29.84,10,9,2,12,6,,0.21,6,Rain,144
1996-6-1,90,82,75,75,72,69,97,79,54,30.00,29.92,29.87,10,10,10,15,9,20,0.01,5,Rain,163
1996-6-2,91,81,71,73,72,69,97,77,55,30.16,30.08,30.02,10,10,10,13,5,,0.05,6,Thunderstorm,48
1996-6-3,93,82,72,71,67,63,87,62,41,30.13,30.06,29.95,10,10,10,10,6,,0.00,4,,79
1996-6-4,88,77,66,71,67,65,100,76,53,30.07,30.00,29.89,10,9,1,26,6,33,1.01,6,Fog-Rain-Thunderstorm,126
1996-6-5,93,82,71,72,70,67,100,71,44,30.05,29.96,29.88,10,10,10,15,6,,0.10,5,,172
